*Short Form	EN	HU	NL	ES	RO	PL	CS	BS	PT-BR	PT-PT	ET	FR-CA	FR-FR	KR	ZH-CN	ZH-TW	SR	RU	TR	FI	BG	UA	DE	CAT	IT	JP	LT	AR	KZ	NO	FIL	HIN	TH	ID	GE	LV	VN	GR	BRL	SK	SW	FA
Portable Monitor	Portable monitor	Hordozható monitor	Draagbare monitor	Monitor portátil	Monitor portabil	Przenośny monitor	Přenosný monitor	Prijenosni monitor	Monitor portátil	Monitor portátil	Kaasaskantav monitor	Moniteur portatif	Moniteur portatif	휴대용 모니터	便携式监视器	手提式監視器	Преносиви монитор	Портативный монитор	Taşınabilir monitör	Kannettava näyttö	Преносим монитор	Портативний монітор	Tragbarer Monitor	Monitor portàtil	Monitor portatile	ポータブルモニター	Nešiojamas monitorius	شاشة محمولة	Портативті монитор	Bærbar skjerm	Portable na monitor	पोर्टेबल मॉनिटर	จอภาพแบบพกพา	Monitor portabel	პორტატული მონიტორი	Pārnēsājams monitors	Màn hình di động	Φορητή οθόνη	Партатыўны манітор	Prenosný monitor	Bärbar monitor	مانیتور قابل حمل
Floor-standing portrait monitor.	Floor-standing monitor with a portrait display.	Padlón álló monitor álló kijelzővel.	Staande monitor met portretweergave.	Monitor de suelo con pantalla vertical.	Monitor de podea cu afișaj portret.	Monitor podłogowy z wyświetlaczem portretowym.	Stojanový monitor s displejem na výšku.	Podni monitor sa portretnim displejom.	Monitor de chão com exibição em retrato.	Monitor de chão com visualização em retrato.	Põrandal seisev portreeekraaniga monitor.	Moniteur sur pied avec affichage portrait.	Moniteur sur pied avec affichage portrait.	세로형 디스플레이를 갖춘 플로어 스탠딩 모니터.	带有纵向显示屏的落地式显示器。	具有縱向顯示器的落地式顯示器。	Подни монитор са портретним дисплејом.	Напольный монитор с вертикальным экраном.	Portre ekranlı, yerde duran monitör.	Lattialla seisova näyttö pystynäytöllä.	Подов монитор с портретен дисплей.	Підлоговий монітор з портретним дисплеєм.	Standmonitor mit Hochformatanzeige.	Monitor de peu amb pantalla vertical.	Monitor da terra con display verticale.	縦長表示のフロアスタンド型モニター。	Ant grindų statomas monitorius su portretiniu ekranu.	شاشة عرض أرضية مع شاشة عرض عمودية.	Портреттік дисплейі бар едендік монитор.	Gulvstående monitor med portrettskjerm.	Floor-standing na monitor na may portrait na display.	पोर्ट्रेट डिस्प्ले के साथ फ़्लोर-स्टैंडिंग मॉनिटर।	จอภาพตั้งพื้นพร้อมจอแสดงผลแนวตั้ง	Monitor berdiri di lantai dengan tampilan potret.	იატაკზე დამდგარი მონიტორი პორტრეტული დისპლეით.	Grīdas monitors ar portreta displeju.	Màn hình đặt sàn có màn hình dọc.	Επιδαπέδια οθόνη με πορτραίτο.	Падлогавы манітор з партрэтным дысплеем.	Stojanový monitor s displejom na výšku.	Golvstående monitor med porträttdisplay.	مانیتور روی زمین با نمایشگر پرتره.
Compact portable monitor.	Compact portable monitor.	Kompakt hordozható monitor.	Compacte draagbare monitor.	Monitor portátil compacto.	Monitor portabil compact.	Kompaktowy monitor przenośny.	Kompaktní přenosný monitor.	Kompaktni prijenosni monitor.	Monitor portátil compacto.	Monitor portátil compacto.	Kompaktne kaasaskantav monitor.	Moniteur portable compact.	Moniteur portable compact.	컴팩트한 휴대용 모니터.	紧凑型便携式监视器。	緊湊型便攜式監視器。	Компактни преносиви монитор.	Компактный портативный монитор.	Kompakt taşınabilir monitör.	Kompakti kannettava näyttö.	Компактен преносим монитор.	Компактний портативний монітор.	Kompakter tragbarer Monitor.	Monitor portàtil compacte.	Monitor portatile compatto.	コンパクトなポータブルモニター。	Kompaktiškas nešiojamas monitorius.	شاشة محمولة مدمجة.	Ықшам портативті монитор.	Kompakt bærbar skjerm.	Compact na portable na monitor.	कॉम्पैक्ट पोर्टेबल मॉनिटर।	จอภาพแบบพกพาขนาดกะทัดรัด	Monitor portabel yang ringkas.	კომპაქტური პორტატული მონიტორი.	Kompakts portatīvais monitors.	Màn hình di động nhỏ gọn.	Συμπαγής φορητή οθόνη.	Кампактны партатыўны манітор.	Kompaktný prenosný monitor.	Kompakt bärbar bildskärm.	مانیتور قابل حمل جمع و جور.
Aquarium (ATX)	Aquarium case (ATX)	Gépház Aquarium (ATX)	Kast Aquarium (ATX)	Cajas Aquarium (ATX)	Carcasa Aquarium (ATX)	Obudowa Aquarium (ATX)	Pouzdro Aquarium (ATX)	Kutija Aquarium (ATX)	Gabinete Aquarium (ATX)	Torre Aquarium (ATX)	Arvutikorpus Aquarium (ATX)	Case Aquarium (ATX)	Boîtier Aquarium (ATX)	케이스 Aquarium (ATX)	机箱 Aquarium (ATX)	機箱 Aquarium (ATX)	Kućište Aquarium (ATX)	Корпус Aquarium (ATX)	Kasa Aquarium (ATX)	Kuori Aquarium (ATX)	Кутия Aquarium (ATX)	Бокс Aquarium (ATX)	Gehäuse Aquarium (ATX)	Caixa Aquarium (ATX)	Scocca Aquarium (ATX)	場合 Aquarium (ATX)	Korpusas Aquarium (ATX)	قضية Aquarium (ATX)	Корпус Aquarium (ATX)	Kabinett Aquarium (ATX)	Kaso Aquarium (ATX)	मामला Aquarium (ATX)	เคส Aquarium (ATX)	Case Aquarium (ATX)	ქეისი Aquarium (ATX)	Korpuss Aquarium (ATX)	Case Aquarium (ATX)	Κουτί Aquarium (ATX)	Справа Aquarium (ATX)	Púzdro Aquarium (ATX)	Chassi Aquarium (ATX)	کیس Aquarium (ATX)
Downloading... {0}%	Downloading... {0}%	Letöltés... {0}%	Bezig met downloaden... {0}%	Descargando... {0}%	Se descarcă... {0}%	Pobieranie... {0}%	Stahování... {0} %	Preuzimanje... {0}%	Baixando... {0}%	A descarregar... {0}%	Allalaadimine... {0}%	Téléchargement... {0} %	Téléchargement... {0} %	다운로드 중... {0}%	正在下载...{0}%	正在下載...{0}%	Преузимање... {0}%	Скачивание... {0}%	İndiriliyor... %{0}	Ladataan... {0}%	Изтегля се... {0}%	Завантаження... {0}%	Herunterladen... {0}%	S'està baixant... {0}%	Download in corso... {0}%	ダウンロード中... {0}%	Atsisiunčiama... {0}%	جارٍ التنزيل... {0}%	Жүктеп алынуда... {0}%	Laster ned ... {0}%	Dina-download... {0}%	डाउनलोड हो रहा है... {0}%	กำลังดาวน์โหลด... {0}%	Mengunduh... {0}%	მიმდინარეობს ჩამოტვირთვა... {0}%	Notiek lejupielāde... {0}%	Đang tải xuống... {0}%	Λήψη... {0}%	Ідзе загрузка... {0}%	Sťahuje sa... {0} %	Laddar ner... {0}%	در حال بارگیری... {0}%
Ascending	Ascending	Növekvő	Oplopend	Ascendente	Crescător	Rosnąco	Vzestupně	Uzlazno	Ascendente	Ascendente	Kasvav	Ascendant	Ascendant	오름차순	上升	上升	Узлазно	По возрастанию	Artan	Nouseva	Възходящ	За зростанням	Aufsteigend	Ascendent	Ascendente	昇順	Didėjantis	تصاعدي	Өсу	Stigende	Paakyat	आरोही	จากน้อยไปมาก	Naik	აღმავალი	Augošā	Tăng dần	Αύξουσα	Па ўзрастанні	Vzostupne	Stigande	صعودی
Descending	Descending	Csökkenő	Aflopend	Descendente	Descrescătoare	Malejąco	Sestupně	Silazno	Descendente	Descendente	Langevalt	Descendant	Descendant	내림차순	降序	降序	Силазно	По убыванию	Azalan	Laskeva	Спускане	Спускається	Absteigend	Descendent	Discendente	降順	Mažėjantis	تنازلي	Кему	Synkende	Pababa	अवरोही	จากมากไปน้อย	Menurun	დაღმავალი	Dilstoša	Giảm dần	Φθίνουσα	Па сыходзе	Zostupne	Fallande	نزولی
Compiled: {0}	Compiled: {0}	Lefordítva: {0}	Samengesteld: {0}	Compilado: {0}	Compilat: {0}	Skompilowano: {0}	Zkompilováno: {0}	Sastavljeno: {0}	Compilado: {0}	Compilado: {0}	Koostatud: {0}	Compilé : {0}	Compilé : {0}	컴파일됨: {0}	已编译：{0}	已編譯：{0}	Састављено: {0}	Собрано: {0}	Derlendi: {0}	Käännetty: {0}	Компилиран: {0}	Складено: {0}	Kompiliert: {0}	Compilat: {0}	Compilato: {0}	コンパイル済み: {0}	Sudaryta: {0}	مجمعة: {0}	Құрылған: {0}	Kompilert: {0}	Naipon: {0}	संकलित: {0}	เรียบเรียง: {0}	Disusun: {0}	შედგენილი: {0}	Sastādīts: {0}	Đã biên soạn: {0}	Μεταγλώττιση: {0}	Скампілявана: {0}	Kompilované: {0}	Sammanställd: {0}	گردآوری شده: {0}
Could not load icon: {0}	Could not load icon: {0}	Nem sikerült betölteni az ikont: {0}	Kan pictogram niet laden: {0}	No se pudo cargar el icono: {0}	Nu s-a putut încărca pictograma: {0}	Nie można załadować ikony: {0}	Nelze načíst ikonu: {0}	Nije moguće učitati ikonu: {0}	Não foi possível carregar o ícone: {0}	Não foi possível carregar o ícone: {0}	Ikooni ei saanud laadida: {0}	Impossible de charger l'icône : {0}	Impossible de charger l'icône : {0}	아이콘을 로드할 수 없습니다: {0}	无法加载图标：{0}	無法載入圖示：{0}	Није могуће учитати икону: {0}	Не удалось загрузить значок: {0}	Simge yüklenemedi: {0}	Ei voitu ladata kuvaketta: {0}	Иконата не можа да се зареди: {0}	Не вдалося завантажити значок: {0}	Symbol konnte nicht geladen werden: {0}	No s'ha pogut carregar la icona: {0}	Impossibile caricare l'icona: {0}	アイコンを読み込めませんでした: {0}	Nepavyko įkelti piktogramos: {0}	تعذر تحميل الرمز: {0}	Белгішені жүктеу мүмкін емес: {0}	Kunne ikke laste ikonet: {0}	Hindi ma-load ang icon: {0}	आइकन लोड नहीं हो सका: {0}	ไม่สามารถโหลดไอคอน: {0}	Tidak dapat memuat ikon: {0}	ხატულა ვერ ჩაიტვირთა: {0}	Nevarēja ielādēt ikonu: {0}	Không thể tải biểu tượng: {0}	Δεν ήταν δυνατή η φόρτωση του εικονιδίου: {0}	Не атрымалася загрузіць значок: {0}	Ikona sa nepodarilo načítať: {0}	Det gick inte att ladda ikonen: {0}	نماد بارگیری نشد: {0}
Assign the icon picker panel in the inspector.	Assign the icon picker panel in the inspector.	Rendelje hozzá az ikonválasztó panelt az ellenőrzőben.	Wijs het pictogramkiezerpaneel toe in het infovenster.	Asigne el panel selector de iconos en el inspector.	Atribuiți panoul de selectare a pictogramelor în inspector.	Przypisz panel wyboru ikon w inspektorze.	Přiřaďte panel pro výběr ikon v inspektoru.	Dodijelite panel birača ikona u inspektoru.	Atribua o painel seletor de ícones no inspetor.	Atribua o painel seletor de ícones no inspetor.	Määrake inspektoris ikoonivalija paneel.	Attribuez le panneau de sélection d'icônes dans l'inspecteur.	Attribuez le panneau de sélection d'icônes dans l'inspecteur.	인스펙터에서 아이콘 선택기 패널을 할당합니다.	在检查器中分配图标选择器面板。	在檢查器中指派圖示選擇器面板。	Доделите панел за бирање икона у инспектору.	Назначьте панель выбора значка в инспекторе.	Denetleyicide simge seçici panelini atayın.	Määritä kuvakevalitsin paneeli asetuksiin.	Задайте панела за избор на икони в инспектора.	Призначте панель вибору піктограм в інспекторі.	Weisen Sie das Symbolauswahlfeld im Inspektor zu.	Assigna el tauler de selecció d'icones a l'inspector.	Assegna il pannello di selezione delle icone nell'ispettore.	インスペクターでアイコンピッカーパネルを割り当てます。	Inspektoriuje priskirkite piktogramų rinkiklio skydelį.	قم بتعيين لوحة منتقي الأيقونات في المفتش.	Инспектордағы белгішені таңдау панелін тағайындаңыз.	Tilordne ikonvelgerpanelet i inspektøren.	Italaga ang panel ng tagapili ng icon sa inspektor.	इंस्पेक्टर में आइकन पिकर पैनल असाइन करें।	กำหนดแผงตัวเลือกไอคอนในตัวตรวจสอบ	Tetapkan panel pemilih ikon di inspektur.	მიანიჭეთ ინსპექტორში ხატის ამომრჩევი პანელი.	Piešķiriet ikonu atlasītāja paneli inspektorā.	Gán bảng chọn biểu tượng trong thanh tra.	Αντιστοιχίστε τον πίνακα επιλογής εικονιδίων στον επιθεωρητή.	Прызначце панэль выбару значкоў у інспектары.	Priraďte panel na výber ikon v inšpektorovi.	Tilldela ikonväljarpanelen i inspektören.	پانل انتخاب نماد را در بازرس اختصاص دهید.
